locus_tag	ftype	length_bp	gene	EC_number	COG	product
SRR29831_00001	CDS	795				hypothetical protein
SRR29831_00002	CDS	2778				hypothetical protein
SRR29831_00003	CDS	228				hypothetical protein
SRR29831_00004	CDS	378				hypothetical protein
SRR29831_00005	CDS	618				hypothetical protein
SRR29831_00006	CDS	366				hypothetical protein
SRR29831_00007	CDS	408				hypothetical protein
SRR29831_00008	CDS	333				hypothetical protein
SRR29831_00009	CDS	555				hypothetical protein
SRR29831_00010	CDS	240				hypothetical protein
SRR29831_00011	CDS	924				hypothetical protein
SRR29831_00012	CDS	576				hypothetical protein
SRR29831_00013	CDS	210				hypothetical protein
SRR29831_00014	CDS	516				hypothetical protein
SRR29831_00015	CDS	921		2.4.2.31	COG5585	NAD(+)--arginine ADP-ribosyltransferase EFV
SRR29831_00016	CDS	1464				hypothetical protein
SRR29831_00017	CDS	1209				hypothetical protein
SRR29831_00018	CDS	726				hypothetical protein
SRR29831_00019	CDS	621	rnd	3.1.13.5		Ribonuclease D
SRR29831_00020	CDS	897				hypothetical protein
SRR29831_00021	CDS	222				hypothetical protein
SRR29831_00022	CDS	516				hypothetical protein
SRR29831_00023	CDS	168				hypothetical protein
SRR29831_00024	CDS	156				hypothetical protein
SRR29831_00025	CDS	219				hypothetical protein
SRR29831_00026	CDS	168				hypothetical protein
SRR29831_00027	CDS	681				hypothetical protein
SRR29831_00028	CDS	210				hypothetical protein
SRR29831_00029	CDS	267				hypothetical protein
SRR29831_00030	CDS	180				hypothetical protein
SRR29831_00031	CDS	282				hypothetical protein
SRR29831_00032	CDS	162				hypothetical protein
SRR29831_00033	CDS	159				hypothetical protein
SRR29831_00034	CDS	138				hypothetical protein
SRR29831_00035	CDS	327				hypothetical protein
SRR29831_00036	CDS	384				hypothetical protein
SRR29831_00037	CDS	354				hypothetical protein
SRR29831_00038	CDS	165				hypothetical protein
SRR29831_00039	CDS	369				hypothetical protein
SRR29831_00040	CDS	216				hypothetical protein
SRR29831_00041	CDS	216				hypothetical protein
